传统历史模拟 VaR(99%): 20641.04 元
时间加权历史模拟 VaR(99%, λ=0.99): 13553.79 元
EWMA 波动率加权 VaR(99%, λ=0.95): 10677.19 元
传统 Kupiec LR: 0.24, p-value: 0.6271
时间加权 Kupiec LR: 17.73, p-value: 0.0000
EWMA Kupiec LR: 34.16, p-value: 0.0000
2024-01-02 重平衡最小VaR权重：黄金ETF:0.6052, 红利低波ETF:0.1643, 纳斯达克ETF:0.2305
2024-01-09 重平衡最小VaR权重：黄金ETF:0.6052, 红利低波ETF:0.1643, 纳斯达克ETF:0.2305
2024-01-16 重平衡最小VaR权重：黄金ETF:0.6052, 红利低波ETF:0.1643, 纳斯达克ETF:0.2305
2024-01-23 重平衡最小VaR权重：黄金ETF:0.6052, 红利低波ETF:0.1643, 纳斯达克ETF:0.2305
2024-01-30 重平衡最小VaR权重：黄金ETF:0.6052, 红利低波ETF:0.1643, 纳斯达克ETF:0.2305
2024-02-06 重平衡最小VaR权重：黄金ETF:0.6052, 红利低波ETF:0.1643, 纳斯达克ETF:0.2305
2024-02-21 重平衡最小VaR权重：黄金ETF:0.6052, 红利低波ETF:0.1643, 纳斯达克ETF:0.2305
2024-02-28 重平衡最小VaR权重：黄金ETF:0.7094, 红利低波ETF:0.1884, 纳斯达克ETF:0.1022
2024-03-06 重平衡最小VaR权重：黄金ETF:0.7094, 红利低波ETF:0.1884, 纳斯达克ETF:0.1022
2024-03-13 重平衡最小VaR权重：黄金ETF:0.7094, 红利低波ETF:0.1884, 纳斯达克ETF:0.1022
2024-03-20 重平衡最小VaR权重：黄金ETF:0.7094, 红利低波ETF:0.1884, 纳斯达克ETF:0.1022
2024-03-27 重平衡最小VaR权重：黄金ETF:0.7094, 红利低波ETF:0.1884, 纳斯达克ETF:0.1022
2024-04-03 重平衡最小VaR权重：黄金ETF:0.6854, 红利低波ETF:0.1483, 纳斯达克ETF:0.1663
2024-04-12 重平衡最小VaR权重：黄金ETF:0.6613, 红利低波ETF:0.2605, 纳斯达克ETF:0.0782
2024-04-19 重平衡最小VaR权重：黄金ETF:0.6613, 红利低波ETF:0.2605, 纳斯达克ETF:0.0782
2024-04-26 重平衡最小VaR权重：黄金ETF:0.7094, 红利低波ETF:0.1884, 纳斯达克ETF:0.1022
2024-05-08 重平衡最小VaR权重：黄金ETF:0.7094, 红利低波ETF:0.1884, 纳斯达克ETF:0.1022
2024-05-15 重平衡最小VaR权重：黄金ETF:0.6934, 红利低波ETF:0.2124, 纳斯达克ETF:0.0942
2024-05-22 重平衡最小VaR权重：黄金ETF:0.6613, 红利低波ETF:0.2605, 纳斯达克ETF:0.0782
2024-05-29 重平衡最小VaR权重：黄金ETF:0.6934, 红利低波ETF:0.2124, 纳斯达克ETF:0.0942
2024-06-05 重平衡最小VaR权重：黄金ETF:0.6934, 红利低波ETF:0.2124, 纳斯达克ETF:0.0942
2024-06-13 重平衡最小VaR权重：黄金ETF:0.4369, 红利低波ETF:0.3006, 纳斯达克ETF:0.2625
2024-06-20 重平衡最小VaR权重：黄金ETF:0.4369, 红利低波ETF:0.3006, 纳斯达克ETF:0.2625
2024-06-27 重平衡最小VaR权重：黄金ETF:0.4369, 红利低波ETF:0.3006, 纳斯达克ETF:0.2625
2024-07-04 重平衡最小VaR权重：黄金ETF:0.4369, 红利低波ETF:0.3006, 纳斯达克ETF:0.2625
2024-07-11 重平衡最小VaR权重：黄金ETF:0.4369, 红利低波ETF:0.3006, 纳斯达克ETF:0.2625
2024-07-18 重平衡最小VaR权重：黄金ETF:0.4369, 红利低波ETF:0.3006, 纳斯达克ETF:0.2625
2024-07-25 重平衡最小VaR权重：黄金ETF:0.5251, 红利低波ETF:0.1804, 纳斯达克ETF:0.2946
2024-08-01 重平衡最小VaR权重：黄金ETF:0.5892, 红利低波ETF:0.2525, 纳斯达克ETF:0.1583
2024-08-08 重平衡最小VaR权重：黄金ETF:0.2846, 红利低波ETF:0.5651, 纳斯达克ETF:0.1503
2024-08-15 重平衡最小VaR权重：黄金ETF:0.2846, 红利低波ETF:0.5651, 纳斯达克ETF:0.1503
2024-08-22 重平衡最小VaR权重：黄金ETF:0.2846, 红利低波ETF:0.5651, 纳斯达克ETF:0.1503
2024-08-29 重平衡最小VaR权重：黄金ETF:0.2766, 红利低波ETF:0.5731, 纳斯达克ETF:0.1503
2024-09-05 重平衡最小VaR权重：黄金ETF:0.2766, 红利低波ETF:0.5731, 纳斯达克ETF:0.1503
2024-09-12 重平衡最小VaR权重：黄金ETF:0.2766, 红利低波ETF:0.5731, 纳斯达克ETF:0.1503
2024-09-23 重平衡最小VaR权重：黄金ETF:0.2766, 红利低波ETF:0.5731, 纳斯达克ETF:0.1503
2024-09-30 重平衡最小VaR权重：黄金ETF:0.2766, 红利低波ETF:0.5731, 纳斯达克ETF:0.1503
2024-10-14 重平衡最小VaR权重：黄金ETF:0.5731, 红利低波ETF:0.1082, 纳斯达克ETF:0.3186
2024-10-21 重平衡最小VaR权重：黄金ETF:0.5731, 红利低波ETF:0.1082, 纳斯达克ETF:0.3186
